Plot,Transect,Patch,Shrub_biomass,Forb_biomass,Grass_biomass,Total_biomass,Lat,Long,Elevation_mean,Slope_mean,Aspect_mean,LULC_RF,NDVI_mean,NDVI_min,NDVI_max,VHeight_mean,VHeight_min,VHeight_max,CC_mean,CC_min,CC_max,vrd_0_mean,vrd_0.5_mean,vrd_1_mean,vrd_1.5_mean,vrd_2_mean,vrd_2.5_mean
LS_2022_2_2,LS_2022_2,LS_2022_2,115.11,14.5,109.4,239.01,41.994288,-8.148329034,933.76,15.97,110.3,LowShrub,0.13,0.12,0.14,0.07,0,0.5,0,0,0,1,0,0,0,0,0
LS_2022_2_3,LS_2022_2,LS_2022_2,224.31,10.9,4.8,240.01,41.994288,-8.148329034,932.63,16.5,110.65,LowShrub,0.12,0.12,0.12,0.04,0,0.47,0,0,0,1,0,0,0,0,0
LS_2022_2_4,LS_2022_2,LS_2022_2,222.9,4.3,7.6,234.8,41.994288,-8.148329034,931.44,17.06,111.02,LowShrub,0.12,0.12,0.12,0.06,0,0.74,0,0,0,0.99,0.01,0,0,0,0
LS_2023_1_1,LS_2023_1,LS_2023_1,124.27,3,37.6,164.87,42.01467204,-8.195677986,1188.89,15.77,302.37,HighShrub,0.48,0.34,0.62,0,0,0.25,0,0,0,1,0,0,0,0,0
LS_2023_1_2,LS_2023_1,LS_2023_1,43.51,6.6,46.1,96.21,42.01467204,-8.195677986,1187.66,13.53,298.79,LowShrub,0.43,0.21,0.55,0,0,0.1,0,0,0,1,0,0,0,0,0
LS_2023_1_3,LS_2023_1,LS_2023_1,68.24,1.8,35.9,105.94,42.01467204,-8.195677986,1186.34,13.48,298.79,HighShrub,0.38,0.14,0.54,0.01,0,0.28,0,0,0,1,0,0,0,0,0
LS_2023_1_4,LS_2023_1,LS_2023_1,53.36,10.6,49.4,113.36,42.01467204,-8.195677986,1185.33,14.79,312.4,LowShrub,0.41,0.15,0.56,0.01,0,0.32,0,0,0,1,0,0,0,0,0
LS_2023_2_1,LS_2023_2,LS_2023_2,145.45,6.1,35.9,187.45,42.01701503,-8.195222011,1197.52,12.26,151.94,LowShrub,0.51,0.35,0.67,0,0,0.21,0,0,0,1,0,0,0,0,0
LS_2023_2_2,LS_2023_2,LS_2023_2,9.86,8.5,63.7,82.06,42.01701503,-8.195222011,1196.76,8.08,159.92,LowShrub,0.57,0.39,0.8,0,0,0.19,0,0,0,1,0,0,0,0,0
LS_2023_2_3,LS_2023_2,LS_2023_2,2.36,7.6,24.6,34.56,42.01701503,-8.195222011,1196.2,7.64,145.45,LowShrub,0.74,0.27,0.83,0,0,0.16,0,0,0,1,0,0,0,0,0
LS_2023_2_4,LS_2023_2,LS_2023_2,2.35,19.7,25.8,47.85,42.01701503,-8.195222011,1195.4,9.35,130.54,LowShrub,0.73,0.24,0.83,0,0,0.18,0,0,0,1,0,0,0,0,0
O3.1_2024_1,O3.1_2024,O_3.1,19.7,9.1,4.3,33.1,42.03712104,-8.166162036,1017.76,10.04,159.94,OakForest,0.72,0.58,0.87,4.13,0,10.53,0.36,0,1,0.83,0,0,0,0,0.01
O3.1_2024_2,O3.1_2024,O_3.1,19.41,5.8,23.4,48.61,42.03712104,-8.166162036,1016.98,9,155.08,HighShrub,0.6,0.49,0.7,0.11,0,4.43,0.01,0,0.25,0.99,0,0,0,0,0
O3.1_2024_3,O3.1_2024,O_3.1,0,5.6,19,24.6,42.03712104,-8.166162036,1016.29,8.73,153.56,Rock,0.57,0.31,0.75,0.11,0,4.17,0,0,0.05,0.99,0.01,0,0,0,0
O3.1_2024_4,O3.1_2024,O_3.1,36.76,6.5,18.6,61.86,42.03712104,-8.166162036,1015.69,8.7,153.96,Rock,0.58,0.38,0.76,0.33,0,5.99,0.01,0,0.23,0.98,0.01,0,0,0,0
